DATE,FFWSJLOW
1933-09-19,.
1933-09-20,.
1933-09-21,.
1933-09-22,.
1933-09-23,.
1933-09-24,.
1933-09-25,.
1933-09-26,.
1933-09-27,.
1933-09-28,.
1933-09-29,.
1933-09-30,.
1933-10-01,.
1933-10-02,.
1933-10-03,.
1933-10-04,.
1933-10-05,.
1933-10-06,.
1933-10-07,.
1933-10-08,.
1933-10-09,.
1933-10-10,.
1933-10-11,.
1933-10-12,.
1933-10-13,.
1933-10-14,.
1933-10-15,.
1933-10-16,.
1933-10-17,.
1933-10-18,.
1933-10-19,.
1933-10-20,.
1933-10-21,.
1933-10-22,.
1933-10-23,.
1933-10-24,.
1933-10-25,.
1933-10-26,.
1933-10-27,.
1933-10-28,.
1933-10-29,.
1933-10-30,.
1933-10-31,.
1933-11-01,.
1933-11-02,.
1933-11-03,.
1933-11-04,.
1933-11-05,.
1933-11-06,.
1933-11-07,.
1933-11-08,.
1933-11-09,.
1933-11-10,.
1933-11-11,.
1933-11-12,.
1933-11-13,.
1933-11-14,.
1933-11-15,.
1933-11-16,.
1933-11-17,.
1933-11-18,.
1933-11-19,.
1933-11-20,.
1933-11-21,.
1933-11-22,.
1933-11-23,.
1933-11-24,.
1933-11-25,.
1933-11-26,.
1933-11-27,.
1933-11-28,.
1933-11-29,.
1933-11-30,.
1933-12-01,.
1933-12-02,.
1933-12-03,.
1933-12-04,0.25
1933-12-05,0.125
1933-12-06,0.125
1933-12-07,0.25
1933-12-08,.
1933-12-09,.
1933-12-10,.
1933-12-11,0.125
1933-12-12,.
1933-12-13,0.125
1933-12-14,.
1933-12-15,.
1933-12-16,.
1933-12-17,.
1933-12-18,.
1933-12-19,.
1933-12-20,.
1933-12-21,.
1933-12-22,.
1933-12-23,.
1933-12-24,.
1933-12-25,.
1933-12-26,.
1933-12-27,.
1933-12-28,.
1933-12-29,.
1933-12-30,.
1933-12-31,.
1934-01-01,.
1934-01-02,.
1934-01-03,.
1934-01-04,.
1934-01-05,.
1934-01-06,.
1934-01-07,.
1934-01-08,.
1934-01-09,.
1934-01-10,.
1934-01-11,.
1934-01-12,.
1934-01-13,.
1934-01-14,.
1934-01-15,.
1934-01-16,.
1934-01-17,.
1934-01-18,.
1934-01-19,.
1934-01-20,.
1934-01-21,.
1934-01-22,.
1934-01-23,.
1934-01-24,.
1934-01-25,.
1934-01-26,.
1934-01-27,.
1934-01-28,.
1934-01-29,.
1934-01-30,.
1934-01-31,.
1934-02-01,.
1934-02-02,.
1934-02-03,.
1934-02-04,.
1934-02-05,.
1934-02-06,.
1934-02-07,0.25
1934-02-08,0.125
1934-02-09,0.125
1934-02-10,.
1934-02-11,.
1934-02-12,.
1934-02-13,.
1934-02-14,.
1934-02-15,.
1934-02-16,.
1934-02-17,.
1934-02-18,.
1934-02-19,0.125
1934-02-20,0.125
1934-02-21,0.125
1934-02-22,.
1934-02-23,.
1934-02-24,.
1934-02-25,.
1934-02-26,.
1934-02-27,.
1934-02-28,.
1934-03-01,.
1934-03-02,.
1934-03-03,.
1934-03-04,.
1934-03-05,.
1934-03-06,.
1934-03-07,.
1934-03-08,.
1934-03-09,.
1934-03-10,.
1934-03-11,.
1934-03-12,.
1934-03-13,.
1934-03-14,.
1934-03-15,.
1934-03-16,.
1934-03-17,.
1934-03-18,.
1934-03-19,.
1934-03-20,.
1934-03-21,.
1934-03-22,.
1934-03-23,.
1934-03-24,.
1934-03-25,.
1934-03-26,.
1934-03-27,.
1934-03-28,.
1934-03-29,.
1934-03-30,.
1934-03-31,.
1934-04-01,.
1934-04-02,.
1934-04-03,.
1934-04-04,.
1934-04-05,.
1934-04-06,.
1934-04-07,.
1934-04-08,.
1934-04-09,.
1934-04-10,.
1934-04-11,.
1934-04-12,.
1934-04-13,.
1934-04-14,.
1934-04-15,.
1934-04-16,.
1934-04-17,.
1934-04-18,.
1934-04-19,.
1934-04-20,.
1934-04-21,.
1934-04-22,.
1934-04-23,.
1934-04-24,.
1934-04-25,.
1934-04-26,.
1934-04-27,.
1934-04-28,.
1934-04-29,.
1934-04-30,.
1934-05-01,.
1934-05-02,.
1934-05-03,.
1934-05-04,.
1934-05-05,.
1934-05-06,.
1934-05-07,.
1934-05-08,.
1934-05-09,.
1934-05-10,.
1934-05-11,.
1934-05-12,.
1934-05-13,.
1934-05-14,.
1934-05-15,.
1934-05-16,.
1934-05-17,.
1934-05-18,.
1934-05-19,.
1934-05-20,.
1934-05-21,.
1934-05-22,.
1934-05-23,.
1934-05-24,.
1934-05-25,.
1934-05-26,.
1934-05-27,.
1934-05-28,.
1934-05-29,.
1934-05-30,.
1934-05-31,.
1934-06-01,.
1934-06-02,.
1934-06-03,.
1934-06-04,.
1934-06-05,.
1934-06-06,.
1934-06-07,.
1934-06-08,.
1934-06-09,.
1934-06-10,.
1934-06-11,.
1934-06-12,.
1934-06-13,.
1934-06-14,.
1934-06-15,.
1934-06-16,.
1934-06-17,.
1934-06-18,.
1934-06-19,.
1934-06-20,.
1934-06-21,.
1934-06-22,.
1934-06-23,.
1934-06-24,.
1934-06-25,.
1934-06-26,.
1934-06-27,.
1934-06-28,.
1934-06-29,.
1934-06-30,.
1934-07-01,.
1934-07-02,.
1934-07-03,.
1934-07-04,.
1934-07-05,.
1934-07-06,.
1934-07-07,.
1934-07-08,.
1934-07-09,.
1934-07-10,.
1934-07-11,.
1934-07-12,.
1934-07-13,.
1934-07-14,.
1934-07-15,.
1934-07-16,.
1934-07-17,.
1934-07-18,.
1934-07-19,.
1934-07-20,.
1934-07-21,.
1934-07-22,.
1934-07-23,.
1934-07-24,.
1934-07-25,.
1934-07-26,.
1934-07-27,.
1934-07-28,.
1934-07-29,.
1934-07-30,.
1934-07-31,.
1934-08-01,.
1934-08-02,.
1934-08-03,.
1934-08-04,.
1934-08-05,.
1934-08-06,.
1934-08-07,.
1934-08-08,.
1934-08-09,.
1934-08-10,.
1934-08-11,.
1934-08-12,.
1934-08-13,.
1934-08-14,.
1934-08-15,.
1934-08-16,.
1934-08-17,.
1934-08-18,.
1934-08-19,.
1934-08-20,.
1934-08-21,.
1934-08-22,.
1934-08-23,.
1934-08-24,.
1934-08-25,.
1934-08-26,.
1934-08-27,.
1934-08-28,.
1934-08-29,.
1934-08-30,.
1934-08-31,.
1934-09-01,.
1934-09-02,.
1934-09-03,.
1934-09-04,.
1934-09-05,.
1934-09-06,.
1934-09-07,.
1934-09-08,.
1934-09-09,.
